run_id,label,growth_mode,uniform_rate,high_rate,low_rate,Kc,Kb,damping,carrying_cap_factor,tau,anisotropy_mode,anisotropy_strength,anisotropy_high,anisotropy_low,collision_mode,enable_self_collision,self_collision_use_spatial_hash,self_collision_min_dist,self_collision_stiffness,self_collision_n_sample,self_collision_hash_cell_size,self_collision_hash_neighbor_window,self_collision_deterministic_fallback,enable_two_layer_approx,two_layer_threshold,two_layer_transition_sharpness,outer_layer_growth_scale,inner_layer_growth_scale,two_layer_coupling,max_force_norm,max_acc_norm,max_velocity_norm,max_displacement_per_step,n_steps,dt,seed,run_config_hash,sweep_config_hash,git_commit,fail_reason,stable,runtime_s,final_area,area_ratio,gi,gi_plausible,mean_curv_mean,mean_curv_std,mean_curv_abs_max,mean_curv_p50,mean_curv_p90,mean_curv_p99,disp_mean,disp_p95,outside_skull_frac,skull_penetration_mean,skull_penetration_p95,skull_penetration_max,collision_force_l2,total_force_l2,collision_force_share,collision_overlap_mean,collision_overlap_p95,collision_overlap_max,collision_overlap_count,collision_overlap_frac
1,run_1,uniform,0.4,0.4,0.4,1.6,2.5,0.9,3.5,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,d6e1bd6348b128dd4839189fc4be83e42bdcf9a7aaf5d1a1b7d595cf385ec1a8,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.29836012492887676,22.27749252319336,1.781274055858891,0.7879050970077515,0,2.366441249847412,1.4626436233520508,9.347919464111328,2.1998090744018555,4.371334075927734,6.047373294830322,0.18579243123531342,0.31009310483932495,0.0,0.0,0.0,0.0,0.0,495.587158203125,0.0,0.0,0.0,0.0,0.0,0.0
2,run_2,regional,0.0,0.8,0.1,1.6,2.5,0.9,3.5,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,3d25c1f853c2d945920b7b62d538c71a233051d516759a31ec3ca59aa9b8ed0a,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.24811662500724196,23.241456985473633,1.8583511723989208,0.8219984173774719,1,2.5003397464752197,1.4767048358917236,8.79606819152832,2.4242076873779297,4.381773471832275,6.389165878295898,0.20259760320186615,0.3653271198272705,0.003115264797507788,0.00010815142013598233,0.0,0.0451509952545166,0.0,527.66015625,0.0,0.0,0.0,0.0,0.0,0.0
3,run_3,uniform,0.4,0.4,0.4,1.6,2.5,0.9,4.0,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,f190c98d585da305b338c077ff221efe4397baf6ce660e4b7b9a298c98b5ca1c,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.2427999589126557,24.423999786376953,1.9529054768835372,0.8638222813606262,1,2.3818280696868896,1.3766546249389648,7.732794761657715,2.3050880432128906,4.24273681640625,5.720361232757568,0.2073594629764557,0.35105258226394653,0.0,0.0,0.0,0.0,0.0,404.9512023925781,0.0,0.0,0.0,0.0,0.0,0.0
4,run_4,regional,0.0,0.8,0.1,1.6,2.5,0.9,4.0,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,d90bd54980f17c7486a91fc5371b0307d137f29a4cb6b7ce19aa702c7ec82f73,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.24220158299431205,25.338008880615234,2.0259882389893127,0.8961487412452698,1,2.630669593811035,1.4519883394241333,6.684050559997559,2.511366844177246,4.682773113250732,5.948275566101074,0.2162809818983078,0.393963098526001,0.010903426791277258,0.0007521901861764491,0.0,0.19012951850891113,0.0,482.8120422363281,0.0,0.0,0.0,0.0,0.0,0.0
5,run_5,uniform,0.4,0.4,0.4,1.6,3.5,0.9,3.5,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,b0bacea075b01a8266e5a40a72fc5a49cfdc1f2cbdee47e2c7672d1a16373016,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.23901812499389052,108.843505859375,8.702959407760053,3.8495514392852783,0,2.552095890045166,0.9259257316589355,5.808183670043945,2.4964871406555176,3.7863683700561523,5.136221408843994,0.4926246404647827,0.7390561103820801,0.3582554517133956,0.041262391954660416,0.20590348541736603,0.40053844451904297,0.0,674.5155029296875,0.0,0.0,0.0,0.0,0.0,0.0
6,run_6,regional,0.0,0.8,0.1,1.6,3.5,0.9,3.5,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,99938fd736a0a99d225fa14ce107d93c2ede67bf85b3c1c20fec973873ccbf2b,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.2442234589252621,109.09176635742188,8.722809935542976,3.8583319187164307,0,2.6097464561462402,0.94414222240448,6.877476215362549,2.600830078125,3.816290855407715,5.066854953765869,0.4891229569911957,0.7612623572349548,0.32242990654205606,0.03753814101219177,0.20790457725524902,0.4025646448135376,0.0,1296.8416748046875,0.0,0.0,0.0,0.0,0.0,0.0
7,run_7,uniform,0.4,0.4,0.4,1.6,3.5,0.9,4.0,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,41a1e3ebcfa30b48a47acd78d09bc6c2b7fd3d66bfdd31ca989cd70e5d04573c,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.2592413329984993,125.86727905273438,10.064154142337404,4.451644420623779,0,2.5415096282958984,0.8325675129890442,7.478237152099609,2.4451584815979004,3.5828163623809814,4.989548683166504,0.5145471692085266,0.7765777111053467,0.40342679127725856,0.04641565680503845,0.21410346031188965,0.38822877407073975,0.0,646.24365234375,0.0,0.0,0.0,0.0,0.0,0.0
8,run_8,regional,0.0,0.8,0.1,1.6,3.5,0.9,4.0,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,86f22eabf46d7deb6205243da63e986ad4fc26ec5217f6565b10a7c4f4d5e16a,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.24305225000716746,110.2403564453125,8.81464943328924,3.8989551067352295,0,2.6028695106506348,0.8958635926246643,6.491774559020996,2.591639518737793,3.7485649585723877,5.082304954528809,0.4892459213733673,0.771913468837738,0.35358255451713394,0.03923230618238449,0.21263925731182098,0.345126748085022,0.0,750.978759765625,0.0,0.0,0.0,0.0,0.0,0.0
9,run_9,uniform,0.4,0.4,0.4,2.0,2.5,0.9,3.5,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,df40aeb894c51f1a9cca75152ce03b5a02c7df0189d03e3d6d76052130cc3e9b,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.24991349992342293,22.498058319091797,1.7989101578319795,0.795706033706665,0,2.362659454345703,1.4993715286254883,7.942974090576172,2.143423557281494,4.44265079498291,6.096657752990723,0.20330043137073517,0.31818294525146484,0.001557632398753894,0.00021473938249982893,0.0,0.1378626823425293,0.0,460.0138244628906,0.0,0.0,0.0,0.0,0.0,0.0
10,run_10,regional,0.0,0.8,0.1,2.0,2.5,0.9,3.5,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,e637576db85638f0054e9bcdef5ffc92d5a851729c4241dcd17034d0fc1fb6d9,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.2465732078999281,23.390823364257812,1.8702942784315613,0.82728111743927,1,2.4299237728118896,1.489109754562378,7.652857303619385,2.2550034523010254,4.457796096801758,6.548433303833008,0.21913941204547882,0.37724557518959045,0.006230529595015576,0.00043945241486653686,0.0,0.15425646305084229,0.0,503.5513916015625,0.0,0.0,0.0,0.0,0.0,0.0
11,run_11,uniform,0.4,0.4,0.4,2.0,2.5,0.9,4.0,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,6aeb58a511d0404f6efc34bc1480e414d78a1e609548d62372e306abe52f9773,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.24640145804733038,21.758407592773438,1.7397688227909558,0.7695462703704834,0,2.2805659770965576,1.417001485824585,13.614842414855957,2.155897378921509,4.217222213745117,5.653911113739014,0.2047414630651474,0.30483517050743103,0.0,0.0,0.0,0.0,0.0,372.1502990722656,0.0,0.0,0.0,0.0,0.0,0.0
12,run_12,regional,0.0,0.8,0.1,2.0,2.5,0.9,4.0,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,65d34d90ba5c0157e9ca3b121bf40532bedecd1a643208f858de633624c01f89,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.24322200007736683,23.903064727783203,1.9112523104109507,0.84539794921875,1,2.4070985317230225,1.4627189636230469,8.409100532531738,2.229689836502075,4.398143291473389,6.25814151763916,0.22846540808677673,0.3977780342102051,0.009345794392523364,0.0005535316304303706,0.0,0.12119483947753906,0.0,469.28436279296875,0.0,0.0,0.0,0.0,0.0,0.0
13,run_13,uniform,0.4,0.4,0.4,2.0,3.5,0.9,3.5,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,31f25fc881811fdba81c2ea8066fb70a17afffbd0419684edd04f6cee68988e5,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.2634815420024097,89.8575439453125,7.184871079469291,3.178060531616211,1,2.707486391067505,1.0078775882720947,7.432736873626709,2.680443525314331,3.899996280670166,5.427386283874512,0.4714374542236328,0.728482723236084,0.3644859813084112,0.0412631556391716,0.20415502786636353,0.32561492919921875,0.0,957.612548828125,0.0,0.0,0.0,0.0,0.0,0.0
14,run_14,regional,0.0,0.8,0.1,2.0,3.5,0.9,3.5,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,cd2518826bed386e03f76a4411aa6f01b1ad679f78f72862991c932090469e3e,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.2469489579088986,89.16105651855469,7.129181015507919,3.1534273624420166,1,2.6951520442962646,0.9656751155853271,8.009775161743164,2.661604404449463,3.8846817016601562,5.238338947296143,0.48066070675849915,0.7143159508705139,0.3660436137071651,0.03725690767168999,0.1910131573677063,0.3296576738357544,0.0,882.08935546875,0.0,0.0,0.0,0.0,0.0,0.0
15,run_15,uniform,0.4,0.4,0.4,2.0,3.5,0.9,4.0,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,a2c63318cfe9349930c93f98b1d4ed12c59a3e359263c0ce6d709dfdbfb46ba4,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.2453894589561969,93.82313537597656,7.5019536741205535,3.318314552307129,1,2.641613245010376,1.0101536512374878,8.722151756286621,2.6249842643737793,3.819376230239868,5.318298816680908,0.4754314124584198,0.7372249364852905,0.35202492211838005,0.0409395731985569,0.2040373980998993,0.3209404945373535,0.0,972.2260131835938,0.0,0.0,0.0,0.0,0.0,0.0
16,run_16,regional,0.0,0.8,0.1,2.0,3.5,0.9,4.0,500.0,none,0.0,0.0,0.0,disabled,0,0,0.02,50.0,256,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,120,0.02,42,1602b75b3f380057a8ac0e386e43768ca42db7684453c7f2f3b29b9689c81a50,dbd527e51a54be405e23d1c3ff8577c5189c5ace316f959684cdbc243a9e0440,ca1c4cf,none,1,0.24384395801462233,87.38383483886719,6.987077102051707,3.0905709266662598,1,2.723759412765503,1.0148197412490845,7.927689075469971,2.716597557067871,3.9058940410614014,5.700406551361084,0.4716281592845917,0.7398577332496643,0.35514018691588783,0.03797013312578201,0.19409173727035522,0.4048190116882324,0.0,1401.9468994140625,0.0,0.0,0.0,0.0,0.0,0.0
